S.No,Description,Units,No's,L,W,Qty
,,,,,,
,Dismantling,,,,,
,Paritions,,,,,
,Reception Area,Sqfts,1,5.5,10,55
,,Sqfts,1,25.5,10,255
,,Sqfts,1,18,10,180
,,Sqfts,1,25.75,10,258
,Travel Desk/Visiting Dir,Sqfts,2,11.25,10,225
,,Sqfts,2,22.25,10,445
,Interview Rooms,Sqfts,2,11.25,10,225
,,Sqfts,2,18.25,10,365
,Cabins,Sqfts,3,11.25,10,338
,,Sqfts,2,26.25,10,525
,Utility Beside Room,Sqfts,1,9.5,10,95
,8Pax Conference Room,Sqfts,1,10.75,10,108
,Conference Room,Sqfts,1,27.5,10,275
,,Sqfts,1,13,10,130
,,,,,,
,TOTAL,,,,,3478
,Brick Wall,,,,,
,Reception Area,Sqfts,1,5.5,10,55
,,,,,,
,TOTAL,,,,,1
,Columns,,,,,
,Reception Area,Sqfts,8,2.5,10,200
,,Sqfts,8,2.5,10,200
,,Sqfts,7,2.5,10,175
,,Sqfts,7,2.5,10,175
,,,,,,
,TOTAL,,,,,750
,Wall Panelling,,,,,
,Linear Work Station Area,Sqfts,1,4,8.25,33
,,Sqfts,1,51.5,8.25,425
,Linear Work Station Area-Corridor,Sqfts,1,6,8.25,50
,,,,,,
,TOTAL,,,,,507
,False Ceiling,,,,,
,Reception Area,Sqfts,1,5.5,4,22
,,Sqfts,1,25.5,4,102
,,Sqfts,1,18,4,72
,,Sqfts,1,25.75,4,103
,Travel Desk/Visiting Dir,Sqfts,2,11.25,4,90
,,Sqfts,2,22.25,4,178
,Interview Rooms,Sqfts,2,11.25,4,90
,,Sqfts,2,18.25,4,146
,Cabins,Sqfts,3,11.25,4,135
,,Sqfts,2,26.25,4,210
,Utility Beside Room,Sqfts,1,9.5,4,38
,8Pax Conference Room,Sqfts,1,10.75,4,43
,Conference Room,Sqfts,1,27.5,4,110
,,Sqfts,1,13,4,52
,,,,,,
,TOTAL,,,,,1391
,Furniture,,,,,
,Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
,Carpet,,,,,
,Travel Desk/Visiting Dir,Sqfts,1,21.75,11.25,245
,Interview Rooms,Sqfts,1,11.5,18,207
,Cabins,Sqfts,1,26,10.75,280
,Conference Room,Sqfts,1,17.75,10.75,191
,Training Room,Sqfts,1,1172,1,1172
,,,,,,
,TOTAL,,,,,1
,Lights,,,,,
,Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
,Shifting,,,,,
,Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
,Load,,,,,
,Office,Sqfts,15,1,1,15
,,,,,,
,TOTAL,,,,,15
,Doors,,,,,
,Entry Door,No's,1,1,1,1
,Travel Desk/Visiting Dir,No's,2,1,1,2
,Interview Rooms,No's,2,1,1,2
,Cabins,No's,3,1,1,3
,Utility Beside Room,No's,1,1,1,1
,Conference Room,No's,1,1,1,1
,8Pax Conference Room,No's,3,1,1,3
,,,,,,
,TOTAL,,,,,13
,,,,,,
,Civil Work,,,,,
,,,,,,
1,Granite Work,,,,,
,Pantry,,,,,
,Pantry,Sqfts,1,14.25,2,29
,,,,,,
,TOTAL,,,,,29
,,,,,,
,,,,,,
2,Plumbing Works,,,,,
,Pantry,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
3.1,Sanitary Fixtures,,,,,
,SS Sink,,,,,
,Pantry,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
3.2,Sink Cock,,,,,
,Pantry,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
4,Floor Chipping,,,,,
,Pantry,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
5,Flooring Work,,,,,
,Entrance,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
6,Trap door,,,,,
